"literature_id","citekey","title","authors","year","venue","url_or_doi","language","topic_cluster","research_question","task_definition","dataset_name","data_source","sample_size","license","input_modality","method","baselines","evaluation_metrics","human_evaluation","statistical_test","main_results","ablation","error_types","limitations","code_url","data_url","quality_score","evidence_level","project_component","design_implication","reviewer","review_status"
"LIT-2021-001","page2021prisma","The PRISMA 2020 statement: an updated guideline for reporting systematic reviews","Matthew J. Page et al.","2021","BMJ","https://doi.org/10.1136/bmj.n71","en","A","RQ2;RQ8","Systematic-review reporting guideline","","","","","text","27-item reporting guideline and flow diagrams","","","","","","","","","","","","foundational_standard","Dataset Paper;Evaluation","用于检索筛选流程和报告透明性；待全文复核","","metadata_verified"
"LIT-2021-002","gebru2021datasheets","Datasheets for Datasets","Timnit Gebru;Jamie Morgenstern;Briana Vecchione;Jennifer Wortman Vaughan;Hanna Wallach;Hal Daumé III;Kate Crawford","2021","Communications of the ACM","https://arxiv.org/abs/1803.09010","en","A","RQ2","Dataset documentation framework","","","","","text","Datasheet questions covering the dataset lifecycle","","","","","","","","","","","","foundational_standard","Data Layer;Dataset Paper","用于定义数据来源、采样、用途和维护披露；待全文复核","","metadata_verified"
"LIT-2022-001","wohlin2022hybrid","Successful Combination of Database Search and Snowballing for Identification of Primary Studies in Systematic Literature Studies","Claes Wohlin;Marcos Kalinowski;Katia Romero Felizardo;Emilia Mendes","2022","Information and Software Technology","https://doi.org/10.1016/j.infsof.2022.106908","en","A","RQ2;RQ8","Hybrid database search and snowballing","","","","","text","Hybrid systematic-search strategy","","","","","","","","","","","","pending","Dataset Paper;Evaluation","用于前向后向滚雪球与边界文献处理；待全文复核","","metadata_verified"
"LIT-2023-001","islam2023financebench","FinanceBench: A New Benchmark for Financial Question Answering","Pranab Islam;Anand Kannappan;Douwe Kiela;Rebecca Qian;Nino Scherrer;Bertie Vidgen","2023","arXiv","https://arxiv.org/abs/2311.11944","en","B","RQ1;RQ2","Open-book financial question answering","FinanceBench","Public-company financial documents","10231 questions","","text","Benchmark with answers and evidence strings","","","","","","","","","","","","pending","Data Layer;Evidence Gate;Evaluation","用于证据定位、拒答和金融问答最低能力评测；待全文复核","","metadata_verified"
"LIT-2021-003","chen2021finqa","FinQA: A Dataset of Numerical Reasoning over Financial Data","Zhiyu Chen et al.","2021","EMNLP","https://doi.org/10.18653/v1/2021.emnlp-main.300","en","B","RQ1;RQ2","Numerical reasoning over financial reports","FinQA","Financial reports","","","table;text","Gold reasoning programs and QA","","","","","","","","","https://github.com/czyssrs/FinQA","","","pending","Data Layer;Compare Agent;Evaluation","用于数值推理、可解释计算链和程序正确性；待全文复核","","metadata_verified"
"LIT-2021-004","zhu2021tatqa","TAT-QA: A Question Answering Benchmark on a Hybrid of Tabular and Textual Content in Finance","Fengbin Zhu;Wenqiang Lei;Youcheng Huang;Chao Wang;Shuo Zhang;Jiancheng Lv;Fuli Feng;Tat-Seng Chua","2021","ACL-IJCNLP","https://doi.org/10.18653/v1/2021.acl-long.254","en","B","RQ1;RQ2;RQ6","QA over hybrid financial tables and text","TAT-QA","Financial reports","","","table;text","Sequence tagging plus symbolic aggregation","","","","","","","","","","","","pending","PDF Parser;Compare Agent;Evaluation","用于表文混合抽取和聚合运算评测；待全文复核","","metadata_verified"
"LIT-2024-001","xie2024finben","FinBen: A Holistic Financial Benchmark for Large Language Models","Qianqian Xie et al.","2024","NeurIPS Datasets and Benchmarks","https://doi.org/10.52202/079017-3033","en","B;G","RQ1;RQ2;RQ7","Holistic financial LLM evaluation","FinBen","42 datasets across financial tasks","42 datasets;24 tasks","","text;structured data","Multi-task financial benchmark","","","","","","","","","","","","pending","Evaluation;Agent Orchestration;Dataset Paper","用于构建金融任务覆盖面和分项指标；待全文复核","","metadata_verified"
"LIT-2025-001","long2025finlfqa","FinLFQA: Evaluating Attributed Text Generation of LLMs in Financial Long-Form Question Answering","Yitao Long;Tiansheng Hu;Yilun Zhao;Arman Cohan;Chen Zhao","2025","Findings of EMNLP","https://doi.org/10.18653/v1/2025.findings-emnlp.908","en","B;D","RQ1;RQ4","Attributed long-form financial QA","FinLFQA","Financial reports","","","text","Long-form answer generation with evidence and reasoning attribution","","","","","","","","","","","","pending","Claim Graph;Evidence Gate;Summarize Agent;Evaluation","用于分离答案质量、证据、数值中间步骤与领域知识归因；待全文复核","","metadata_verified"
"LIT-2025-002","lin2025mebench","MEBench: Benchmarking Large Language Models for Cross-Document Multi-Entity Question Answering","Teng Lin;Yuyu Luo;Honglin Zhang;Jicheng Zhang;Chunlin Liu;Kaishun Wu;Nan Tang","2025","EMNLP","https://doi.org/10.18653/v1/2025.emnlp-main.77","en","C","RQ1;RQ3","Cross-document multi-entity QA","MEBench","Multi-document benchmark","4780 questions","","text","Comparative statistical and relational reasoning benchmark","","Accuracy;EA-F1","","","","","","","","","","pending","Compare Agent;Evidence Gate;Evaluation","用于实体级完整性、事实精度和归因有效性；待全文复核","","metadata_verified"
"LIT-2025-003","nikishina2025compare","How to Compare Things Properly? A Study of Argument Relevance in Comparative Question Answering","Irina Nikishina;Saba Anwar;Nikolay Dolgov;Maria Manina;Daria Ignatenko;Artem Shelmanov;Chris Biemann","2025","ACL","https://doi.org/10.18653/v1/2025.acl-long.765","en","C","RQ1;RQ3","Comparative QA with argument provenance","","Manually curated comparative arguments","","","text","Argument relevance annotations and ideal-comparison criteria","","","","","","","","","","","","pending","Claim Graph;Compare Agent;Evidence Gate;Evaluation","用于比较维度、论据相关性和来源追溯；待全文复核","","metadata_verified"
"LIT-2022-002","fabbri2022qafacteval","QAFactEval: Improved QA-Based Factual Consistency Evaluation for Summarization","Alexander Fabbri;Chien-Sheng Wu;Wenhao Liu;Caiming Xiong","2022","NAACL","https://doi.org/10.18653/v1/2022.naacl-main.187","en","D","RQ1;RQ4","Factual consistency evaluation for summaries","","","","","text","QA-based factuality metric","","","","","","","","","","","","pending","Evidence Gate;Summarize Agent;Evaluation","用于事实一致性自动评价，需与蕴含及人工评价结合；待全文复核","","metadata_verified"
"LIT-2023-002","gao2023alce","Enabling Large Language Models to Generate Text with Citations","Tianyu Gao;Howard Yen;Jiatong Yu;Danqi Chen","2023","EMNLP","https://doi.org/10.18653/v1/2023.emnlp-main.398","en","D","RQ1;RQ4","Retrieval and long-form generation with citations","ALCE","Multiple QA datasets and retrieval corpora","","","text","Automatic LLM citation evaluation","","Fluency;correctness;citation quality","","","","","","","","","","pending","Claim Graph;Evidence Gate;Summarize Agent;Evaluation","用于引用正确性与引用完整性指标；待全文复核","","metadata_verified"
"LIT-2026-001","yuan2026confrag","Benchmarking LLM's Capability in Reasoning over Conflicting Web References","Yizhen Yuan;Rui Kong;Dongze Li;Yuanchun Li;Yunxin Liu","2026","ACL","https://aclanthology.org/2026.acl-long.11/","en","D","RQ1;RQ4","Reasoning over conflicting references","ConfRAG","Heterogeneous web references","1814 questions;9.58 paragraphs average","","text","Answer clustering and conflict-aware reasoning benchmark","","Answer clustering;answer coverage;reason coverage","","","","","","","","","","pending","Claim Graph;Evidence Gate;Summarize Agent;Evaluation","用于共识、分歧和冲突理由覆盖评测；待全文复核","","metadata_verified"
"LIT-2024-002","edge2024graphrag","From Local to Global: A Graph RAG Approach to Query-Focused Summarization","Darren Edge;Ha Trinh;Newman Cheng;Joshua Bradley;Alex Chao;Apurva Mody;Steven Truitt;Dasha Metropolitansky;Robert Osazuwa Ness;Jonathan Larson","2024","arXiv","https://arxiv.org/abs/2404.16130","en","E","RQ4;RQ5","Global query-focused summarization over document corpora","","","Corpora around one million tokens","","text","Entity graph;community detection;community summaries","","Comprehensiveness;diversity","","","","","","","","","","pending","Metric Ontology;Claim Graph;Summarize Agent;Evaluation","用于全局主题综合；必须与向量和扁平图基线比较；待全文复核","","metadata_verified"
"LIT-2024-003","gutierrez2024hipporag","HippoRAG: Neurobiologically Inspired Long-Term Memory for Large Language Models","Bernal Jiménez Gutiérrez;Yiheng Shu;Yu Gu;Michihiro Yasunaga;Yu Su","2024","NeurIPS","https://doi.org/10.52202/079017-1902","en","E","RQ5","Knowledge integration and multi-hop retrieval","","","","","text","Knowledge graph plus Personalized PageRank retrieval","","","","","","","","","","","","pending","Metric Ontology;Claim Graph;Evaluation","用于多跳图检索基线和成本/时延比较；待全文复核","","metadata_verified"
"LIT-2024-004","liu2024agentbench","AgentBench: Evaluating LLMs as Agents","Xiao Liu et al.","2024","ICLR","https://arxiv.org/abs/2308.03688","en","G","RQ7","LLM agents in interactive environments","AgentBench","Eight interactive environments","8 environments","","text;tool interaction","Multi-environment agent benchmark","","","","","","","","","","","","pending","Agent Orchestration;Evaluation","用于任务完成、长期推理、决策和指令遵循评测；待全文复核","","metadata_verified"
"LIT-2025-004","zhu2025multiagentbench","MultiAgentBench: Evaluating the Collaboration and Competition of LLM agents","Kunlun Zhu et al.","2025","ACL","https://doi.org/10.18653/v1/2025.acl-long.421","en","G","RQ7","Multi-agent collaboration and competition","MultiAgentBench","Interactive multi-agent scenarios","","","text;agent trajectories","Milestone KPIs and coordination topologies","","","","","","","","","https://github.com/ulab-uiuc/MARBLE","","","pending","Agent Orchestration;Evaluation","用于里程碑、协作质量和拓扑消融；待全文复核","","metadata_verified"
"LIT-2023-003","mialon2023gaia","GAIA: a benchmark for General AI Assistants","Grégoire Mialon;Clémentine Fourrier;Craig Swift;Thomas Wolf;Yann LeCun;Thomas Scialom","2023","arXiv","https://arxiv.org/abs/2311.12983","en","G","RQ7","Real-world assistant tasks requiring reasoning multimodality and tools","GAIA","Curated real-world questions","466 questions","","text;multimodal;tool interaction","Three-level assistant benchmark","","","","","","","","","","","","pending","Agent Orchestration;Evaluation","用于端到端工具使用和鲁棒性评测；待全文复核","","metadata_verified"
