metric_id,metric_name,task,dimension,operational_definition,calculation,gold_annotation,aggregation,source_literature_ids,status,owner,notes
M-CMP-001,对象识别正确率,Compare Agent,entity_alignment,"比较对象及标准实体ID正确的样本占比","correct_entities / all_entities","标准实体ID和别名",micro,"LIT-2025-002;LIT-2025-003",hypothesis,成员2,"待全文复核来源定义"
M-CMP-002,指标口径一致率,Compare Agent,metric_alignment,"比较两侧采用相同指标定义、单位、范围和统计口径的维度占比","aligned_dimensions / comparable_dimensions","指标本体、单位、范围和口径",macro,"LIT-2025-003",hypothesis,成员2,"需补足至少3篇证据"
M-CMP-003,时间对齐率,Compare Agent,time_alignment,"比较值位于允许时间窗且截点一致的维度占比","time_aligned / comparable_dimensions","as_of、period_start、period_end",macro,,hypothesis,成员2,"本项目特有指标，需文献和专家论证"
M-CMP-004,比较维度覆盖率,Compare Agent,coverage,"Gold比较维度中被正确覆盖的比例","covered_gold_dimensions / all_gold_dimensions","Gold维度清单",macro,"LIT-2025-002;LIT-2025-003",hypothesis,成员2,"需定义必要和可选维度"
M-CMP-005,实体归因F1,Compare Agent,attribution,"结论中实体事实与证据实体匹配的精确率和召回率调和平均",EA-F1,"实体-事实-证据三元标注",macro,LIT-2025-002,hypothesis,成员2,"参考MEBench后适配"
M-SUM-001,主张事实一致率,Summarize Agent,factuality,"摘要主张被来源证据蕴含的比例","supported_claims / all_claims","原子主张及证据支持标签",macro,"LIT-2022-002;LIT-2025-001",hypothesis,成员5,"自动指标必须配合人工复核"
M-SUM-002,引用正确率,Summarize Agent,citation_correctness,"所给引用确实支持对应主张的比例","supporting_citations / all_citations","主张-引用支持关系",macro,"LIT-2023-002;LIT-2025-001",hypothesis,成员5,"区分引用存在与引用支持"
M-SUM-003,引用完整率,Summarize Agent,citation_completeness,"需要证据的主张中具有充分引用的比例","sufficiently_cited_claims / evidence_required_claims","主张证据需求和充分性",macro,"LIT-2023-002;LIT-2025-001",hypothesis,成员5,"需定义一条或多条证据的充分条件"
M-SUM-004,冲突覆盖率,Summarize Agent,conflict_handling,"Gold冲突簇中被识别并解释的比例","covered_conflict_clusters / all_conflict_clusters","冲突主张簇、冲突原因",macro,LIT-2026-001,hypothesis,成员5,"需补足至少3篇证据"
M-SUM-005,数字忠实率,Summarize Agent,numerical_fidelity,"摘要中的数值、单位、期间和计算结果全部正确的数字主张比例","correct_numeric_claims / all_numeric_claims","数值、单位、期间、计算链",micro,"LIT-2021-003;LIT-2021-004;LIT-2025-001",hypothesis,成员2,"需区分复制数字和推导数字"
M-AGT-001,里程碑完成率,Agent Orchestration,process,"任务所需里程碑中被正确完成的比例","completed_milestones / required_milestones","任务里程碑图",macro,LIT-2025-004,hypothesis,成员5,"按任务难度分层"
M-AGT-002,工具调用成功率,Agent Orchestration,tool_use,"语法有效且获得预期类型结果的工具调用占比","successful_calls / all_calls","工具调用日志和结果状态",micro,"LIT-2024-004;LIT-2023-003",hypothesis,成员5,"另报无效重复调用率"
M-AGT-003,错误恢复率,Agent Orchestration,recovery,"发生可恢复错误后在预算内完成正确恢复的比例","recovered_errors / recoverable_errors","错误类型和恢复终态",macro,LIT-2024-004,hypothesis,成员5,"需建立可恢复错误分类"
